Date, Time, CO2 saved (lbs), E-Total (kWh), Fac (Hz), Grid Type, h-On (h), h-Total (h), Iac (A), Ipv (A), Mode, Pac (W), Power On, Serial Number, Temperature (degC), Vac (V), Vpv (V), ExlSolIrr (W/m^2), IntSolIrr (W/m^2), SMA-h-On (h), TmpAmb F (°F), TmpMdul F (°F), WindVel m/s (m/s)
29.05.2012, 13:13:34, 5030.847, 2959.319, 60, 208V, 1324.938, 1265.581, 24.12, 15.427, Mpp, 5275, 443, 2001931035, 70.4, 218.7, 358, 911, 995, 2158.435, 87.63, 125.23, 7.6
29.05.2012, 13:13:40, 5030.864, 2959.329, 60, 208V, 1324.94, 1265.583, 24.066, 15.428, Mpp, 5261, 443, 2001931035, 70.4, 218.6, 357, 911, 990, 2158.438, 87.63, 125.23, 7.4
29.05.2012, 13:13:51, 5030.89, 2959.344, 59.99, 208V, 1324.942, 1265.586, 23.942, 15.508, Mpp, 5231, 443, 2001931035, 70.4, 218.5, 353, 911, 987, 2158.44, 87.63, 125.13, 12.2
29.05.2012, 13:13:57, 5030.903, 2959.352, 59.99, 208V, 1324.944, 1265.588, 23.788, 15.086, Mpp, 5202, 443, 2001931035, 70.4, 218.7, 361, 900, 980, 2158.441, 87.53, 125.13, 12.4
29.05.2012, 13:14:03, 5030.919, 2959.361, 59.99, 208V, 1324.946, 1265.59, 23.84, 15.448, Mpp, 5211, 443, 2001931035, 70.4, 218.6, 353, 900, 978, 2158.444, 87.23, 124.83, 7.4
29.05.2012, 13:14:14, 5030.948, 2959.378, 59.99, 208V, 1324.949, 1265.593, 23.876, 15.261, Mpp, 5219, 443, 2001931035, 69.8, 218.6, 358, 911, 980, 2158.446, 87.23, 124.63, 4.5
29.05.2012, 13:14:20, 5030.963, 2959.387, 59.99, 208V, 1324.951, 1265.595, 23.834, 15.609, Mpp, 5207, 443, 2001931035, 70.4, 218.5, 349, 889, 974, 2158.448, 87.33, 124.33, 2.5
29.05.2012, 13:14:28, 5030.982, 2959.398, 59.99, 208V, 1324.953, 1265.597, 21.164, 13.658, Mpp, 4616, 443, 2001931035, 69.8, 218.1, 353, 889, 974, 2158.448, 87.33, 124.33, 2.5
29.05.2012, 13:14:35, 5030.997, 2959.407, 59.99, 208V, 1324.955, 1265.599, 23.174, 14.671, Mpp, 5061, 443, 2001931035, 69.1, 218.4, 361, 835, 901, 2158.452, 87.73, 124.03, 1.2
29.05.2012, 13:14:42, 5031.014, 2959.416, 59.99, 208V, 1324.956, 1265.6, 23.506, 14.778, Mpp, 5138, 443, 2001931035, 69.8, 218.6, 364, 889, 965, 2158.454, 87.83, 124.03, 3.2
29.05.2012, 13:14:42, 5031.014, 2959.416, 59.99, 208V, 1324.956, 1265.6, 23.506, 14.778, Mpp, 5138, 443, 2001931035, 69.8, 218.6, 364, 889, 965, 2158.454, 87.83, 124.03, 3.2
29.05.2012, 13:14:51, 5031.036, 2959.43, 59.98, 208V, 1324.959, 1265.603, 23.532, 14.787, Mpp, 5141, 443, 2001931035, 69.8, 218.5, 364, 889, 972, 2158.457, 87.53, 124.03, 13.7
29.05.2012, 13:15:01, 5031.058, 2959.443, 59.98, 208V, 1324.962, 1265.606, 23.71, 15.175, Mpp, 5176, 443, 2001931035, 69.8, 218.3, 357, 900, 973, 2158.459, 87.23, 124.03, 14.5
