CSV-Export,Version: 1.01,Separator: Comma

,SENS0702,SENS0702,SENS0702,SENS0702,SENS0702,SENS0702,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009,WR6KU009
,12120,12120,12120,12120,12120,12120,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035,2001931035
TimeStamp,ExlSolIrr,IntSolIrr,SMA-h-On,TmpAmb F,TmpMdul F,WindVel m/s,Backup State,CO2 saved,Error,E-Total,Fac,Grid Type,h-On,h-Total,Iac,Ipv,Mode,Pac,Power On,Serial Number,Temperature,Vac,Vpv
MM.DD.YYYY hh:mm,W/m^2,W/m^2,h,°F,°F,m/s,,lbs,,kWh,Hz,,h,h,A,A,,W,,,degC,V,V
06.14.2012 00:00,0,0,2521.82,68.75,67.12,2.86,,,,,,,,,,,,,,,,,
06.14.2012 00:05,0,0,2521.9,68.71,67.27,2.24,,,,,,,,,,,,,,,,,
06.14.2012 00:10,0,0,2521.98,68.65,67.14,1.74,,,,,,,,,,,,,,,,,
06.14.2012 00:15,0,0,2522.06,68.56,66.91,1.8,,,,,,,,,,,,,,,,,
06.14.2012 00:20,0,0,2522.15,68.55,66.81,2.05,,,,,,,,,,,,,,,,,
06.14.2012 00:25,0,0,2522.23,68.59,66.78,1.69,,,,,,,,,,,,,,,,,
06.14.2012 00:30,0,0,2522.31,68.53,66.67,1.56,,,,,,,,,,,,,,,,,
06.14.2012 00:35,0,0,2522.39,68.43,66.46,1.35,,,,,,,,,,,,,,,,,
06.14.2012 00:40,0,0,2522.48,68.26,66.57,2.78,,,,,,,,,,,,,,,,,
06.14.2012 00:45,0,0,2522.56,68.22,66.79,2.54,,,,,,,,,,,,,,,,,
