StationName,Long,Lat,ModuleName,ModuleType,,,
VT BEMOSS Lab,-77.1168753,38.8716687,Indoor,Indoor,,,
Timestamp,Timezone : America/New_York,Temperature,Humidity,CO2,Noise,Pressure,TemperatureF
1434254504,6/14/15 0:01,24.5,68,229,52,1009.2,76.1
1434254807,6/14/15 0:06,24.5,68,227,51,1009.3,76.1
1434255109,6/14/15 0:11,24.5,68,228,52,1009.3,76.1
1434255412,6/14/15 0:16,24.5,68,234,53,1009.3,76.1
1434255715,6/14/15 0:21,24.5,68,228,52,1009.3,76.1
1434256017,6/14/15 0:26,24.5,68,236,52,1009.5,76.1
1434256319,6/14/15 0:31,24.5,68,230,51,1009.4,76.1
1434256621,6/14/15 0:37,24.5,68,237,51,1009.4,76.1
1434256924,6/14/15 0:42,24.5,68,227,53,1009.4,76.1
1434257226,6/14/15 0:47,24.5,68,231,52,1009.4,76.1
1434257529,6/14/15 0:52,24.5,68,229,52,1009.6,76.1
1434257832,6/14/15 0:57,24.5,68,231,52,1009.8,76.1
1434258134,6/14/15 1:02,24.5,68,220,51,1010,76.1
1434258437,6/14/15 1:07,24.5,68,229,51,1010,76.1
1434258739,6/14/15 1:12,24.5,68,216,52,1010,76.1
1434259042,6/14/15 1:17,24.5,68,213,52,1009.9,76.1
1434259344,6/14/15 1:22,24.5,68,225,52,1010.1,76.1
1434259647,6/14/15 1:27,24.5,68,215,52,1010,76.1
1434259949,6/14/15 1:32,24.5,68,215,51,1009.9,76.1
1434260252,6/14/15 1:37,24.5,68,217,51,1010.1,76.1
1434260554,6/14/15 1:42,24.5,68,214,52,1010,76.1
1434260857,6/14/15 1:47,24.4,68,212,52,1010.1,75.92
1434261160,6/14/15 1:52,24.4,68,215,52,1009.9,75.92
1434261463,6/14/15 1:57,24.4,68,219,52,1009.9,75.92
1434261765,6/14/15 2:02,24.4,68,205,51,1009.8,75.92
1434262068,6/14/15 2:07,24.4,68,204,52,1009.8,75.92
1434262371,6/14/15 2:12,24.4,68,206,52,1009.8,75.92
1434262673,6/14/15 2:17,24.4,68,219,52,1009.8,75.92
1434262976,6/14/15 2:22,24.4,68,209,52,1009.7,75.92
1434263278,6/14/15 2:27,24.4,68,211,52,1009.8,75.92
1434263580,6/14/15 2:33,24.4,68,206,51,1009.7,75.92
1434263883,6/14/15 2:38,24.4,68,213,52,1009.7,75.92
1434264185,6/14/15 2:43,24.4,69,206,52,1009.7,75.92
1434264488,6/14/15 2:48,24.3,69,223,52,1009.7,75.74
1434264791,6/14/15 2:53,24.3,69,212,52,1009.4,75.74
1434265094,6/14/15 2:58,24.3,69,208,52,1009.6,75.74
1434265396,6/14/15 3:03,24.3,69,210,52,1009.5,75.74
1434265699,6/14/15 3:08,24.3,69,211,51,1009.4,75.74
1434266001,6/14/15 3:13,24.3,69,215,53,1009.5,75.74
1434266304,6/14/15 3:18,24.3,69,207,52,1009.4,75.74
1434266607,6/14/15 3:23,24.3,69,203,52,1009.3,75.74
1434266909,6/14/15 3:28,24.3,69,212,53,1009.4,75.74
1434267213,6/14/15 3:33,24.3,69,210,52,1009.3,75.74
1434267515,6/14/15 3:38,24.3,69,212,51,1009.3,75.74
1434267818,6/14/15 3:43,24.3,69,219,52,1009.4,75.74
1434268120,6/14/15 3:48,24.3,69,221,52,1009.5,75.74
1434268422,6/14/15 3:53,24.3,69,211,53,1009.4,75.74
1434268724,6/14/15 3:58,24.3,69,219,52,1009.4,75.74
1434269027,6/14/15 4:03,24.3,69,212,52,1009.6,75.74
1434269330,6/14/15 4:08,24.3,69,220,51,1009.5,75.74
1434269633,6/14/15 4:13,24.3,69,211,52,1009.4,75.74
1434269936,6/14/15 4:18,24.3,69,215,53,1009.5,75.74
1434270239,6/14/15 4:23,24.3,69,220,52,1009.5,75.74
1434270542,6/14/15 4:29,24.3,69,211,52,1009.5,75.74
1434270844,6/14/15 4:34,24.3,69,216,52,1009.7,75.74
1434271146,6/14/15 4:39,24.2,69,222,52,1009.9,75.56
1434271449,6/14/15 4:44,24.3,69,216,51,1009.9,75.74
1434271751,6/14/15 4:49,24.2,69,210,52,1009.8,75.56
1434272056,6/14/15 4:54,24.2,69,211,53,1009.9,75.56
1434272358,6/14/15 4:59,24.2,69,214,52,1009.8,75.56
1434272660,6/14/15 5:04,24.2,69,213,52,1009.9,75.56
1434272962,6/14/15 5:09,24.2,69,217,52,1010,75.56
1434273264,6/14/15 5:14,24.2,70,203,51,1010.1,75.56
1434273566,6/14/15 5:19,24.2,70,210,51,1009.9,75.56
1434273870,6/14/15 5:24,24.2,69,214,52,1009.8,75.56
1434274172,6/14/15 5:29,24.2,70,211,52,1010,75.56
1434274474,6/14/15 5:34,24.2,70,206,52,1010.1,75.56
1434274777,6/14/15 5:39,24.2,70,209,52,1009.9,75.56
1434275080,6/14/15 5:44,24.2,70,215,52,1010.1,75.56
1434275383,6/14/15 5:49,24.2,70,214,51,1010.2,75.56
1434275686,6/14/15 5:54,24.2,70,214,52,1010.2,75.56
1434275989,6/14/15 5:59,24.2,70,218,52,1010.2,75.56
1434276290,6/14/15 6:04,24.2,70,215,52,1010.3,75.56
1434276592,6/14/15 6:09,24.2,70,222,52,1010.3,75.56
1434276895,6/14/15 6:14,24.2,70,218,52,1010.4,75.56
1434277197,6/14/15 6:19,24.2,70,223,51,1010.5,75.56
1434277500,6/14/15 6:25,24.2,70,225,51,1010.5,75.56
1434277803,6/14/15 6:30,24.2,70,201,52,1010.5,75.56
1434278105,6/14/15 6:35,24.2,70,231,52,1010.5,75.56
1434278408,6/14/15 6:40,24.2,70,224,52,1010.5,75.56
1434278711,6/14/15 6:45,24.2,70,225,52,1010.7,75.56
1434279013,6/14/15 6:50,24.2,70,227,52,1010.7,75.56
1434279316,6/14/15 6:55,24.2,70,228,51,1010.6,75.56
1434279619,6/14/15 7:00,24.2,70,222,51,1010.8,75.56
1434279921,6/14/15 7:05,24.2,70,218,52,1010.8,75.56
1434280224,6/14/15 7:10,24.2,70,217,52,1010.8,75.56
1434280527,6/14/15 7:15,24.2,70,212,52,1010.8,75.56
1434280829,6/14/15 7:20,24.2,70,222,52,1010.9,75.56
1434281132,6/14/15 7:25,24.2,70,222,50,1010.9,75.56
1434281435,6/14/15 7:30,24.2,70,222,52,1010.9,75.56
1434281737,6/14/15 7:35,24.2,70,213,52,1010.9,75.56
1434282040,6/14/15 7:40,24.2,70,226,52,1011.1,75.56
1434282343,6/14/15 7:45,24.2,70,226,51,1011,75.56
1434282646,6/14/15 7:50,24.2,70,224,50,1011.1,75.56
1434282948,6/14/15 7:55,24.2,70,220,52,1011.3,75.56
1434283251,6/14/15 8:00,24.2,70,215,52,1011.3,75.56
1434283554,6/14/15 8:05,24.2,70,218,51,1011.3,75.56
1434283857,6/14/15 8:10,24.2,69,213,51,1011.4,75.56
1434284159,6/14/15 8:15,24.2,70,218,50,1011.2,75.56
1434284462,6/14/15 8:21,24.2,69,223,52,1011.2,75.56
1434284764,6/14/15 8:26,24.2,70,225,51,1011.3,75.56
1434285067,6/14/15 8:31,24.2,70,214,51,1011.2,75.56
1434285368,6/14/15 8:36,24.2,69,218,51,1011.1,75.56
1434285671,6/14/15 8:41,24.2,70,215,50,1011.2,75.56
1434285973,6/14/15 8:46,24.3,69,216,51,1011.2,75.74
1434286276,6/14/15 8:51,24.3,69,215,52,1011.4,75.74
1434286579,6/14/15 8:56,24.3,70,221,51,1011.4,75.74
1434286881,6/14/15 9:01,24.3,69,214,51,1011.4,75.74
1434287184,6/14/15 9:06,24.3,69,216,50,1011.4,75.74
1434287486,6/14/15 9:11,24.3,69,219,51,1011.5,75.74
1434287789,6/14/15 9:16,24.3,69,213,51,1011.5,75.74
